id,text_preview,models,title,priority,has_specs,has_prices,size_chars,tags
bmw_905461_ch000_0407,BMW Konfigurator Warianty napędu Elektryczne Hybryda plug-in Oferty specjalne (12) Oferty specjalne (12) SUVX 7 Model Diesel Od 535 000 złIlustracje przedstawiają wizualizacje modeli wyposażonych w do...,"X1, X3, X5",BMW Polska | Konfigurator,3,False,True,367,cena
bmw_905461_ch001_7761,Producent zastrzega sobie prawo do zmiany cen w dowolnym momencie. Zastrzega się możliwość wystąpienia zmian i pomyłek. Wiążących informacji o cenach udziela partner BMW. Dostępne w BMW Leasing 103%. ...,"X1, X3, X5",BMW Polska | Konfigurator,3,False,True,348,"cena, finansowanie, suv"
bmw_905461_ch003_1077,Zawarcie umowy uzależnione jest od pozytywnego wyniku weryfikacji prawnofinansowej klienta oraz ubezpieczenia pojazdu w pierwszym roku użytkowania w ramach oferty BMW Financial Services Polska sp. z o...,"X1, X3, X5",BMW Polska | Konfigurator,3,False,True,398,cena
bmw_905461_ch004_7384,"Podane ceny stanowią niewiążącą rekomendację producenta, obejmują podatek VAT w wysokości 23% i nie uwzględniają kosztów transportu. Producent zastrzega sobie prawo do zmiany cen w dowolnym momencie. ...","X1, X3, X5",BMW Polska | Konfigurator,3,False,True,303,cena
bmw_905461_ch005_0556,"Od 535 000 zł Ilustracje przedstawiają wizualizacje modeli wyposażonych w dodatkowe opcje dostępne za dopłatą. Podane ceny stanowią niewiążącą rekomendację producenta, obejmują podatek VAT w wysokości...","X1, X3, X5",BMW Polska | Konfigurator,5,True,True,363,cena
bmw_905461_ch006_9764,Wiążących informacji o cenach udziela partner BMW. Dostępne w BMW Leasing 103%. Prezentowana kalkulacja dotyczy leasingu pojazdu BMW X 7 w ramach usługi BMW Leasing 103% oferowanej przez BMW Financial...,"X1, X3, X5",BMW Polska | Konfigurator,3,False,True,288,"cena, finansowanie, suv"
bmw_905461_ch007_1967,"Koszt leasingu odpowiada całkowitej sumie opłat 103% ceny pojazdu przy następujących parametrach: opłata wstępna 25%, okres leasingu 24 miesiące oraz kwota wykupu 19%. Kalkulacja nie stanowi oferty w ...","X1, X3, X5",BMW Polska | Konfigurator,3,False,True,265,"cena, silnik, finansowanie"
bmw_905461_ch008_1077,Zawarcie umowy uzależnione jest od pozytywnego wyniku weryfikacji prawnofinansowej klienta oraz ubezpieczenia pojazdu w pierwszym roku użytkowania w ramach oferty BMW Financial Services Polska sp. z o...,"X1, X3, X5",BMW Polska | Konfigurator,3,False,True,317,"cena, finansowanie"
bmw_905461_ch009_5161,Prezentowana kalkulacja dotyczy leasingu pojazdu BMW X 7 w ramach usługi BMW Leasing 103% oferowanej przez BMW Financial Services Polska sp. z o. o. z siedzibą w Warszawie i jest kierowana do przedsię...,"X1, X3, X5",BMW Polska | Konfigurator,3,False,True,376,"cena, silnik, finansowanie"
bmw_905461_ch011_6701,Skonfiguruj Informacje o pojeździe Dostępne pojazdy Porównaj pojazd SUVX 5 Modele Diesel Od 410 000 złIlustracje przedstawiają wizualizacje modeli wyposażonych w dodatkowe opcje dostępne za dopłatą. P...,"X1, X3, X5",BMW Polska | Konfigurator,3,False,True,398,cena
bmw_905461_ch012_7387,Zastrzega się możliwość wystąpienia zmian i pomyłek. Wiążących informacji o cenach udziela partner BMW. Dostępne w BMW Leasing 100%Prezentowana kalkulacja dotyczy leasingu pojazdu BMW X 5 x Drive 30 d...,"X1, X3, X5",BMW Polska | Konfigurator,3,False,True,352,"cena, finansowanie, suv"
bmw_905461_ch013_7828,"Koszt leasingu odpowiada całkowitej sumie opłat 100% ceny pojazdu przy następujących parametrach: opłata wstępna 25%, okres leasingu 24 miesiące oraz kwota wykupu 19%. Kalkulacja nie stanowi oferty w ...","X1, X3, X5",BMW Polska | Konfigurator,3,False,True,265,"cena, silnik, finansowanie"
bmw_905461_ch014_1077,Zawarcie umowy uzależnione jest od pozytywnego wyniku weryfikacji prawnofinansowej klienta oraz ubezpieczenia pojazdu w pierwszym roku użytkowania w ramach oferty BMW Financial Services Polska sp. z o...,"X1, X3, X5",BMW Polska | Konfigurator,3,False,True,398,cena
bmw_905461_ch016_8881,"Od 410 000 zł Ilustracje przedstawiają wizualizacje modeli wyposażonych w dodatkowe opcje dostępne za dopłatą. Podane ceny stanowią niewiążącą rekomendację producenta, obejmują podatek VAT w wysokości...","X1, X3, X5",BMW Polska | Konfigurator,5,True,True,363,cena
bmw_905461_ch017_8648,Wiążących informacji o cenach udziela partner BMW. Dostępne w BMW Leasing 100%Prezentowana kalkulacja dotyczy leasingu pojazdu BMW X 5 x Drive 30 d w ramach usługi BMW Leasing 100% oferowanej przez BM...,"X1, X3, X5",BMW Polska | Konfigurator,3,False,True,299,"cena, finansowanie, suv"
bmw_905461_ch019_1077,Zawarcie umowy uzależnione jest od pozytywnego wyniku weryfikacji prawnofinansowej klienta oraz ubezpieczenia pojazdu w pierwszym roku użytkowania w ramach oferty BMW Financial Services Polska sp. z o...,"X1, X3, X5",BMW Polska | Konfigurator,3,False,True,288,cena
bmw_905461_ch020_1450,Dostępne w BMW Leasing 100% Prezentowana kalkulacja dotyczy leasingu pojazdu BMW X 5 x Drive 30 d w ramach usługi BMW Leasing 100% oferowanej przez BMW Financial Services Polska sp. z o. o. z siedzibą...,"X1, X3, X5",BMW Polska | Konfigurator,3,False,True,249,"finansowanie, suv"
bmw_905461_ch023_5918,Skonfiguruj Informacje o pojeździe Dostępne pojazdy Porównaj pojazd SUVX 3 Modele Benzyna Od 263 500 złIlustracje przedstawiają wizualizacje modeli wyposażonych w dodatkowe opcje dostępne za dopłatą. ...,"X1, X3, X5",BMW Polska | Konfigurator,3,False,True,399,cena
bmw_905461_ch024_7387,Zastrzega się możliwość wystąpienia zmian i pomyłek. Wiążących informacji o cenach udziela partner BMW. JUŻ ZA 2500 PLN NETTO/MIES. Prezentowana kalkulacja dotyczy leasingu pojazdu BMW X 3 20 x Drive ...,"X1, X3, X5",BMW Polska | Konfigurator,5,True,True,381,"cena, finansowanie, suv"
bmw_905461_ch025_3326,"Opłata wstępna wynosi 0%, przy okresie leasingu 36 miesięcy oraz z rocznym limitem przebiegu 15 000 km. Gwarantowana wartość wykupu pojazdu. Kalkulacja nie stanowi oferty w rozumieniu Kodeksu cywilneg...","X1, X3, X5",BMW Polska | Konfigurator,3,False,True,238,"cena, silnik, finansowanie"
bmw_905461_ch026_1077,Zawarcie umowy uzależnione jest od pozytywnego wyniku weryfikacji prawnofinansowej klienta oraz ubezpieczenia pojazdu w pierwszym roku użytkowania w ramach oferty BMW Financial Services Polska sp. z o...,"X1, X3, X5",BMW Polska | Konfigurator,3,False,True,313,cena
bmw_905461_ch027_7845,"Od 263 500 złIlustracje przedstawiają wizualizacje modeli wyposażonych w dodatkowe opcje dostępne za dopłatą. Podane ceny stanowią niewiążącą rekomendację producenta, obejmują podatek VAT w wysokości ...","X1, X3, X5",BMW Polska | Konfigurator,3,False,True,362,cena
bmw_905461_ch028_0682,Wiążących informacji o cenach udziela partner BMW. Od 263 500 zł Ilustracje przedstawiają wizualizacje modeli wyposażonych w dodatkowe opcje dostępne za dopłatą. Podane ceny stanowią niewiążącą rekome...,"X1, X3, X5",BMW Polska | Konfigurator,5,True,True,361,cena
bmw_905461_ch031_1077,Zawarcie umowy uzależnione jest od pozytywnego wyniku weryfikacji prawnofinansowej klienta oraz ubezpieczenia pojazdu w pierwszym roku użytkowania w ramach oferty BMW Financial Services Polska sp. z o...,"X1, X3, X5",BMW Polska | Konfigurator,3,False,True,316,cena
bmw_905461_ch032_0491,Prezentowana kalkulacja dotyczy leasingu pojazdu BMW X 3 20 x Drive o wartości 237 150 zł brutto w ramach usługi BMW Comfort Lease oferowanej przez BMW Financial Services Polska sp. z o. o. z siedzibą...,"X1, X3, X5",BMW Polska | Konfigurator,5,True,True,390,"cena, silnik, finansowanie"
bmw_905461_ch034_7310,Przy 0% opłaty wstępnej. Przy 0% opłaty wstępnej. Skonfiguruj Informacje o pojeździe Dostępne pojazdy Porównaj pojazd SUVi X 2 Modele Elektryczny Od 232 500 złIlustracje przedstawiają wizualizacje mod...,"X1, X3, X5",BMW Polska | Konfigurator,3,False,True,388,"cena, zasięg, elektryczny"
bmw_905461_ch035_7761,Producent zastrzega sobie prawo do zmiany cen w dowolnym momencie. Zastrzega się możliwość wystąpienia zmian i pomyłek. Wiążących informacji o cenach udziela partner BMW. JUŻ ZA 890 PLN NETTO/MIES. Pr...,"X1, X3, X5",BMW Polska | Konfigurator,5,True,True,389,"cena, finansowanie"
bmw_905461_ch036_2391,"Z siedzibą w Warszawie i jest kierowana do przedsiębiorców. Opłata wstępna wynosi 17,83%, przy okresie leasingu 24 miesiące oraz z rocznym limitem przebiegu 10 000 km. Gwarantowana wartość wykupu poja...","X1, X3, X5",BMW Polska | Konfigurator,3,False,True,302,"cena, silnik, finansowanie"
bmw_905461_ch037_1077,Zawarcie umowy uzależnione jest od pozytywnego wyniku weryfikacji prawnofinansowej klienta oraz ubezpieczenia pojazdu w pierwszym roku użytkowania w ramach oferty BMW Financial Services Polska sp. z o...,"X1, X3, X5",BMW Polska | Konfigurator,3,False,True,321,cena
bmw_905461_ch038_9191,"Elektryczny Od 232 500 złIlustracje przedstawiają wizualizacje modeli wyposażonych w dodatkowe opcje dostępne za dopłatą. Podane ceny stanowią niewiążącą rekomendację producenta, obejmują podatek VAT ...","X1, X3, X5",BMW Polska | Konfigurator,3,False,True,374,"cena, zasięg, elektryczny"
bmw_905461_ch039_6416,Wiążących informacji o cenach udziela partner BMW. Od 232 500 zł Ilustracje przedstawiają wizualizacje modeli wyposażonych w dodatkowe opcje dostępne za dopłatą. Podane ceny stanowią niewiążącą rekome...,"X1, X3, X5",BMW Polska | Konfigurator,5,True,True,361,cena
bmw_905461_ch040_7387,Zastrzega się możliwość wystąpienia zmian i pomyłek. Wiążących informacji o cenach udziela partner BMW. JUŻ ZA 890 PLN NETTO/MIES. Prezentowana kalkulacja dotyczy leasingu pojazdu BMW i X 2 e Drive 20...,"X1, X3, X5",BMW Polska | Konfigurator,5,True,True,382,"cena, finansowanie"
bmw_905461_ch041_9655,"Opłata wstępna wynosi 17,83%, przy okresie leasingu 24 miesiące oraz z rocznym limitem przebiegu 10 000 km. Gwarantowana wartość wykupu pojazdu. Kalkulacja nie stanowi oferty w rozumieniu Kodeksu cywi...","X1, X3, X5",BMW Polska | Konfigurator,3,False,True,242,"cena, silnik, finansowanie"
