id,text_preview,source_url,title,models,is_model_page,chunk_size,token_estimate
bmw_908569_chunk_000,Witamy w BMW – radość z jazdy Już za2500 PLN netto/mies. w BMW Comfort Leaseprzy 0% opłaty wstępnej.1 Skonfiguruj Dowiedz się więcej Znajdźtwoje BMW. Dostępne od ręki. Znajdź używane BMW. Umów jazdę próbną. Skonfiguruj własne BMW. Skonfiguruj Nowe BMW iX3. Początek nowej ery. Skonfiguruj Dowiedz się...,https://www.bmw.pl/pl/index.html,Oficjalna strona internetowa BMW Polska: Pojazdy i innowacje klasy premium,"X1, X3",True,799,199
bmw_908569_chunk_001,dalej. Skorzystaj z oferty specjalnej BMW Service 5+. Wymiana oleju z kontrolą pojazdu już za 599 PLN. Bezpłatny pakiet BMW Assistance na dwa lata. Dowiedz się więcej 1Prezentowana kalkulacja dotyczy leasingu pojazdu BMW X3 20 xDrive o wartości 237 150 zł brutto w ramach usługi BMW Comfort Lease ofe...,https://www.bmw.pl/pl/index.html,Oficjalna strona internetowa BMW Polska: Pojazdy i innowacje klasy premium,"X1, X3",True,788,197
bmw_908569_chunk_002,informacyjny. Zawarcie umowy uzależnione jest od pozytywnego wyniku weryfikacji prawnofinansowej klienta oraz ubezpieczenia pojazdu w pierwszym roku użytkowania w ramach oferty BMW Financial Services Polska sp. z o.o. z siedzibą w Warszawie. Szczegóły oferty są dostępne u Dealerów BMW lub na bmw.pl....,https://www.bmw.pl/pl/index.html,Oficjalna strona internetowa BMW Polska: Pojazdy i innowacje klasy premium,"X1, X3",True,793,198
bmw_908569_chunk_003,10 000 km. Gwarantowana wartość wykupu pojazdu. Kalkulacja nie stanowi oferty w rozumieniu Kodeksu cywilnego i ma charakter jedynie informacyjny. Zawarcie umowy uzależnione jest od pozytywnego wyniku weryfikacji prawnofinansowej klienta oraz ubezpieczenia pojazdu w pierwszym roku użytkowania w ramac...,https://www.bmw.pl/pl/index.html,Oficjalna strona internetowa BMW Polska: Pojazdy i innowacje klasy premium,"X1, X3",True,795,198
bmw_908569_chunk_004,"WLTP w km: 720–805; emisja CO₂, cykl mieszany WLTP w g/km: 0BMW iX1 xDrive30: zużycie energii w cyklu mieszanym WLTP w kWh/100 km: 18,1–17; zasięg elektryczny, WLTP w km¹: 417–438",https://www.bmw.pl/pl/index.html,Oficjalna strona internetowa BMW Polska: Pojazdy i innowacje klasy premium,"X1, X3",True,179,44
bmw_042562_chunk_000,"Odkryj i skonfiguruj wszystkie modele BMW. Poznaj nasze najnowsze modele, aby znaleźć inteligentną technologię, innowacyjne funkcje i typy silników, które są idealne dla Ciebie. Porównaj, skonfiguruj i znajdź swój idealny nowy model BMW. Warianty napędu Elektryczne Hybryda plug-in Pozostałe kategori...",https://www.bmw.pl/pl/all-models.html,Odkryj i skonfiguruj wszystkie modele BMW.pl,"X5, X1, X3",True,799,199
bmw_042562_chunk_001,do zmiany cen w dowolnym momencie. Zastrzega się możliwość wystąpienia zmian i pomyłek. Wiążących informacji o cenach udziela partner BMW. Od 535 000 zł Ilustracje przedstawiają wizualizacje modeli wyposażonych w dodatkowe opcje dostępne za dopłatą. Podane ceny stanowią niewiążącą rekomendację produ...,https://www.bmw.pl/pl/all-models.html,Odkryj i skonfiguruj wszystkie modele BMW.pl,"X5, X1, X3",True,794,198
bmw_042562_chunk_002,"usługi BMW Leasing 103% oferowanej przez BMW Financial Services Polska sp. z o.o. z siedzibą w Warszawie i jest kierowana do przedsiębiorców. Koszt leasingu odpowiada całkowitej sumie opłat 103% ceny pojazdu przy następujących parametrach: opłata wstępna 25%, okres leasingu 24 miesiące oraz kwota wy...",https://www.bmw.pl/pl/all-models.html,Odkryj i skonfiguruj wszystkie modele BMW.pl,"X5, X1, X3",True,799,199
bmw_042562_chunk_003,są dostępne u Dealerów BMW lub na bmw.pl. Dostępne w BMW Leasing 103%. Prezentowana kalkulacja dotyczy leasingu pojazdu BMW X7 w ramach usługi BMW Leasing 103% oferowanej przez BMW Financial Services Polska sp. z o.o. z siedzibą w Warszawie i jest kierowana do przedsiębiorców. Koszt leasingu odpowia...,https://www.bmw.pl/pl/all-models.html,Odkryj i skonfiguruj wszystkie modele BMW.pl,"X5, X1, X3",True,791,197
bmw_042562_chunk_004,pojazdu w pierwszym roku użytkowania w ramach oferty BMW Financial Services Polska sp. z o.o. z siedzibą w Warszawie. Szczegóły oferty są dostępne u Dealerów BMW lub na bmw.pl. Skonfiguruj Informacje o pojeździe Dostępne pojazdy Porównaj pojazd Od 410 000 złIlustracje przedstawiają wizualizacje mode...,https://www.bmw.pl/pl/all-models.html,Odkryj i skonfiguruj wszystkie modele BMW.pl,"X5, X1, X3",True,790,197
bmw_042562_chunk_005,"partner BMW. Od 410 000 zł Ilustracje przedstawiają wizualizacje modeli wyposażonych w dodatkowe opcje dostępne za dopłatą. Podane ceny stanowią niewiążącą rekomendację producenta, obejmują podatek VAT w wysokości 23% i nie uwzględniają kosztów transportu. Producent zastrzega sobie prawo do zmiany c...",https://www.bmw.pl/pl/all-models.html,Odkryj i skonfiguruj wszystkie modele BMW.pl,"X5, X1, X3",True,795,198
