id,text_preview,models,title,priority,has_specs,has_prices,size_chars,tags
bmw_125516_ch000_4359,Witamy w BMW – radość z jazdy Już za2500 PLN netto/mies. w BMW Comfort Leaseprzy 0% opłaty wstępnej.1 Skonfiguruj Dowiedz się więcej Znajdźtwoje BMW. Dostępne od ręki. Znajdź używane BMW. Umów jazdę p...,"X1, X3",Oficjalna strona internetowa BMW Polska: Pojazdy i innowacje klasy premium,3,False,True,398,cena
bmw_125516_ch001_2508,modele z rocznika 2025. Sprawdź szczegóły u Dealerów BMW. Zobacz gotowe do odbioru Wejdź do świata BMW M. Poznaj legendarne modele i sprawdź oferty specjalne. Sprawdź oferty Dowiedz się więcej Twoje B...,"X1, X3",Oficjalna strona internetowa BMW Polska: Pojazdy i innowacje klasy premium,3,False,True,311,"cena, serwis"
bmw_125516_ch002_5806,", by pisać ją dalej. Skorzystaj z oferty specjalnej BMW Service 5+. Wymiana oleju z kontrolą pojazdu już za 599 PLN. Bezpłatny pakiet BMW Assistance na dwa lata. Dowiedz się więcej 1Prezentowana kalku...","X1, X3",Oficjalna strona internetowa BMW Polska: Pojazdy i innowacje klasy premium,5,True,True,398,"cena, finansowanie"
bmw_125516_ch003_9231,przez BMW Financial Services Polska sp. z o.o. z siedzibą w Warszawie i jest kierowana do przedsiębiorców. Opłata wstępna wynosi 0%,"X1, X3",Oficjalna strona internetowa BMW Polska: Pojazdy i innowacje klasy premium,3,False,True,131,
bmw_125516_ch004_1672,", przy okresie leasingu 36 miesięcy oraz z rocznym limitem przebiegu 15 000 km. Gwarantowana wartość wykupu pojazdu. Kalkulacja nie stanowi oferty w rozumieniu Kodeksu cywilnego i ma charakter jedynie...","X1, X3",Oficjalna strona internetowa BMW Polska: Pojazdy i innowacje klasy premium,3,False,True,400,"cena, silnik, finansowanie"
bmw_125516_ch005_3175,pojazdu w pierwszym roku użytkowania w ramach oferty BMW Financial Services Polska sp. z o.o. z siedzibą w Warszawie. Szczegóły oferty są dostępne u Dealerów BMW lub na bmw.pl.2Prezentowana kalkulacja...,"X1, X3",Oficjalna strona internetowa BMW Polska: Pojazdy i innowacje klasy premium,5,True,True,396,"cena, finansowanie"
bmw_125516_ch006_9231,"przez BMW Financial Services Polska sp. z o.o. z siedzibą w Warszawie i jest kierowana do przedsiębiorców. Opłata wstępna wynosi 18,55%","X1, X3",Oficjalna strona internetowa BMW Polska: Pojazdy i innowacje klasy premium,3,False,True,135,
bmw_125516_ch007_1879,", przy okresie leasingu 24 miesiące oraz z rocznym limitem przebiegu 10 000 km. Gwarantowana wartość wykupu pojazdu. Kalkulacja nie stanowi oferty w rozumieniu Kodeksu cywilnego i ma charakter jedynie...","X1, X3",Oficjalna strona internetowa BMW Polska: Pojazdy i innowacje klasy premium,3,False,True,400,"cena, silnik, finansowanie"
bmw_125516_ch008_3175,pojazdu w pierwszym roku użytkowania w ramach oferty BMW Financial Services Polska sp. z o.o. z siedzibą w Warszawie. Szczegóły oferty są dostępne u Dealerów BMW lub nabmw.pl. BMW X3 20 xDrive: Zużyci...,"X1, X3",Oficjalna strona internetowa BMW Polska: Pojazdy i innowacje klasy premium,3,False,True,251,silnik
bmw_125516_ch009_0253,"; emisja CO₂, cykl mieszany WLTP w g/km: 172–156BMW iX3 50 xDrive: Zużycie energii w cyklu mieszanym WLTP w kWh/100 km: 17–15,1; zasięg elektryczny, WLTP w km: 720–805; emisja CO₂, cykl mieszany WLTP ...","X1, X3",Oficjalna strona internetowa BMW Polska: Pojazdy i innowacje klasy premium,4,True,True,328,"silnik, zasięg"
bmw_177106_ch000_3716,"Odkryj i skonfiguruj wszystkie modele BMW. Poznaj nasze najnowsze modele, aby znaleźć inteligentną technologię, innowacyjne funkcje i typy silników, które są idealne dla Ciebie. Porównaj","X5, X1, X3",Odkryj i skonfiguruj wszystkie modele BMW.pl,3,False,True,186,"cena, silnik"
bmw_177106_ch001_1120,", które są idealne dla Ciebie. Porównaj, skonfiguruj i znajdź swój idealny nowy model BMW. Warianty napędu Elektryczne Hybryda plug-in Pozostałe kategorie Concept Cars Protection Cars Oferty specjalne...","X5, X1, X3",Odkryj i skonfiguruj wszystkie modele BMW.pl,3,False,True,393,cena
bmw_177106_ch002_5826,", obejmują podatek VAT w wysokości 23% i nie uwzględniają kosztów transportu. Producent zastrzega sobie prawo do zmiany cen w dowolnym momencie. Zastrzega się możliwość wystąpienia zmian i pomyłek. Wi...","X5, X1, X3",Odkryj i skonfiguruj wszystkie modele BMW.pl,5,True,True,391,cena
bmw_177106_ch003_9255,w dodatkowe opcje dostępne za dopłatą. Podane ceny stanowią niewiążącą rekomendację producenta,"X5, X1, X3",Odkryj i skonfiguruj wszystkie modele BMW.pl,3,False,True,94,cena
bmw_177106_ch004_5826,", obejmują podatek VAT w wysokości 23% i nie uwzględniają kosztów transportu. Producent zastrzega sobie prawo do zmiany cen w dowolnym momencie. Zastrzega się możliwość wystąpienia zmian i pomyłek. Wi...","X5, X1, X3",Odkryj i skonfiguruj wszystkie modele BMW.pl,3,False,True,396,"cena, finansowanie"
bmw_177106_ch005_2543,pojazdu BMW X7 w ramach usługi BMW Leasing 103% oferowanej przez BMW Financial Services Polska sp. z o.o. z siedzibą w Warszawie i jest kierowana do przedsiębiorców. Koszt leasingu odpowiada całkowite...,"X5, X1, X3",Odkryj i skonfiguruj wszystkie modele BMW.pl,3,False,True,282,"cena, finansowanie"
