id,text_preview,models,title,priority,has_specs,has_prices,size_chars,tags
bmw_106377_ch000_9298,BMW Premium Selection. Samochody używane z certyfikatem. Znajdź BMW dla siebie Odkryj BMW Premium Selection. Odkryj radość z jazdy dzięki samochodom używanym BMW Premium Selection. Zanim używane BMW u...,,Samochody używane BMW – BMW Premium Selection | Samochody używane z gwarancją.,1,False,False,495,"cena, silnik"
bmw_106377_ch001_4573,", ale zasada. Samochód używany BMW z certyfikatem BMW Premium Selection został sprawdzony podczas kompleksowej kontroli 360°: w ofercie znajdą się tylko te pojazdy, które spełniają wszystkie precyzyjn...",,Samochody używane BMW – BMW Premium Selection | Samochody używane z gwarancją.,1,False,False,320,"cena, silnik"
bmw_106377_ch002_5020,", dzięki czemu zawsze możemy zagwarantować Ci najwyższą jakość. Zobacz na własne oczy! Korzyści na przyszłość. 24-miesięczna ochrona gwarancyjna. Dzięki BMW Premium Selection stawiasz na większe bezpi...",,Samochody używane BMW – BMW Premium Selection | Samochody używane z gwarancją.,1,False,False,491,"cena, silnik"
bmw_106377_ch003_8281,", które przejdą kompleksową kontrolę 360°. Dzięki specjalistycznej wiedzy BMW i najnowocześniejszemu sprzętowi diagnostycznemu nasi eksperci BMW kompleksowo sprawdzają samochody BMW Premium Selection....",,Samochody używane BMW – BMW Premium Selection | Samochody używane z gwarancją.,1,False,False,343,"cena, silnik, serwis"
bmw_106377_ch004_8933,", że po odbiorze Twój samochód nie będzie wymagać serwisowania przez co najmniej 6 miesięcy lub 10 tys. km przebiegu według wskaźnika obsługi serwisowej. Atrakcyjne finansowanie. Dla wszystkich samoch...",,Samochody używane BMW – BMW Premium Selection | Samochody używane z gwarancją.,1,False,False,485,"cena, silnik, finansowanie"
bmw_106377_ch005_1474,", ochronę samochodu i ubezpieczenie pasażerów, a także wyjątkowo łatwą obsługę w przypadku szkody. Chętnie przedstawimy Ci również korzystną rynkowo ofertę płatności za odkup Twojego obecnego pojazdu....",,Samochody używane BMW – BMW Premium Selection | Samochody używane z gwarancją.,1,False,False,331,"cena, silnik, serwis"
bmw_106377_ch006_0853,", wszelkich wypadkach i naprawach. Dlatego każdy certyfikowany pojazd używany BMW ma pełną historię sprawdzoną przez Dealera BMW Premium Selection. Wsiądź do własnego BMW. Wybierz już teraz swój pojaz...",,Samochody używane BMW – BMW Premium Selection | Samochody używane z gwarancją.,1,False,False,497,"cena, silnik"
bmw_106377_ch007_6199,odpowiadający Twoim konkretnym potrzebom w stale rozwijającej się ofercie i doświadczaj ciągłej radości z jazdy dzięki BMW Premium Selection - pierwszego wyboru dla używanego BMW. Znajdź BMW dla siebi...,,Samochody używane BMW – BMW Premium Selection | Samochody używane z gwarancją.,1,False,False,220,cena
bmw_718896_ch000_0671,"Ubezpieczenie BMW. Ubezpieczenie tak niezawodne, jak twoje BMW. BMW Ubezpieczenia BMW Ubezpieczenia BMW Ubezpieczenia Ubezpieczenie kosztów napraw Ubezpieczenia. BMW Financial Services. Uważamy, że za...",,Ubezpieczenie samochodu | Oferta ubezpieczeń | BMW Polska,1,False,False,469,"cena, silnik"
bmw_718896_ch001_0145,", tak aby nic nie przeszkodziło Ci w pełnej radości z jazdy. Możesz być pewny, że Twój samochód zawsze będzie pod stałą ochroną. Ubezpieczenia BMW. Ubezpieczenia BMW dają gwarancję, że w razie potrzeb...",,Ubezpieczenie samochodu | Oferta ubezpieczeń | BMW Polska,1,False,False,403,"cena, silnik, serwis"
