id,text_preview,models,title,priority,has_specs,has_prices,size_chars,tags
bmw_028407_ch000_4966,Witamy w BMW – radość z jazdy Już za 2500 PLN netto/mies. w BMW Comfort Leaseprzy 0% opłaty wstępnej.1 Skonfiguruj Dowiedz się więcej Skonfiguruj Twoje BMW. Dostępne od ręki. Znajdź używane BMW. Umów ...,"X1, X3",Oficjalna strona internetowa BMW Polska: Pojazdy i innowacje klasy premium,2,False,True,493,cena
bmw_028407_ch001_2844,"Zobacz gotowe do odbioru Wejdź do świata BMW M. Poznaj legendarne modele i sprawdź oferty specjalne. Sprawdź oferty Dowiedz się więcej Kompletne koła zimowe z korzyścią od 30%. Pewne prowadzenie, bezp...","X1, X3",Oficjalna strona internetowa BMW Polska: Pojazdy i innowacje klasy premium,2,False,True,384,cena
bmw_028407_ch002_0208,Dowiedz się więcej 1 Prezentowana kalkulacja dotyczy leasingu pojazdu BMW X 3 20 x Drive o wartości 237 150 zł brutto w ramach usługi BMW Comfort Lease oferowanej przez BMW Financial Services Polska s...,"X1, X3",Oficjalna strona internetowa BMW Polska: Pojazdy i innowacje klasy premium,5,True,True,410,"cena, silnik, finansowanie"
bmw_028407_ch003_9141,Gwarantowana wartość wykupu pojazdu. Kalkulacja nie stanowi oferty w rozumieniu Kodeksu cywilnego i ma charakter jedynie informacyjny. Zawarcie umowy uzależnione jest od pozytywnego wyniku weryfikacji...,"X1, X3",Oficjalna strona internetowa BMW Polska: Pojazdy i innowacje klasy premium,2,False,True,418,cena
bmw_028407_ch004_3255,"Z o. o. z siedzibą w Warszawie. Szczegóły oferty są dostępne u Dealerów BMW lub na bmw. pl.2 Prezentowana kalkulacja dotyczy leasingu pojazdu BMW i X 1 e Drive 20 o wartości 198 915,00 zł brutto w ram...","X1, X3",Oficjalna strona internetowa BMW Polska: Pojazdy i innowacje klasy premium,5,True,True,491,"cena, silnik, finansowanie"
bmw_028407_ch005_9141,Gwarantowana wartość wykupu pojazdu. Kalkulacja nie stanowi oferty w rozumieniu Kodeksu cywilnego i ma charakter jedynie informacyjny. Zawarcie umowy uzależnione jest od pozytywnego wyniku weryfikacji...,"X1, X3",Oficjalna strona internetowa BMW Polska: Pojazdy i innowacje klasy premium,2,False,True,421,cena
bmw_028407_ch006_0714,"Z siedzibą w Warszawie. Szczegóły oferty są dostępne u Dealerów BMW lub nabmw. pl. BMW X 3 20 x Drive: Zużycie paliwa w cyklu mieszanym WLTP w l/100 km: 7,6–6,9; emisja CO₂, cykl mieszany WLTP w g/km:...","X1, X3",Oficjalna strona internetowa BMW Polska: Pojazdy i innowacje klasy premium,4,True,True,499,"silnik, zasięg, suv"
bmw_893516_ch000_2015,"Odkryj i skonfiguruj wszystkie modele BMW. Poznaj nasze najnowsze modele, aby znaleźć inteligentną technologię, innowacyjne funkcje i typy silników, które są idealne dla Ciebie. Porównaj, skonfiguruj ...","X1, X3, X5",Odkryj i skonfiguruj wszystkie modele BMW. pl,1,False,True,483,"cena, silnik"
bmw_893516_ch001_7498,"Podane ceny stanowią niewiążącą rekomendację producenta, obejmują podatek VAT w wysokości 23% i nie uwzględniają kosztów transportu. Producent zastrzega sobie prawo do zmiany cen w dowolnym momencie. ...","X1, X3, X5",Odkryj i skonfiguruj wszystkie modele BMW. pl,5,True,True,413,cena
bmw_893516_ch002_7498,"Podane ceny stanowią niewiążącą rekomendację producenta, obejmują podatek VAT w wysokości 23% i nie uwzględniają kosztów transportu. Producent zastrzega sobie prawo do zmiany cen w dowolnym momencie. ...","X1, X3, X5",Odkryj i skonfiguruj wszystkie modele BMW. pl,1,False,True,480,"cena, finansowanie, suv"
bmw_893516_ch003_1414,"Z o. o. z siedzibą w Warszawie i jest kierowana do przedsiębiorców. Koszt leasingu odpowiada całkowitej sumie opłat 103% ceny pojazdu przy następujących parametrach: opłata wstępna 25%, okres leasingu...","X1, X3, X5",Odkryj i skonfiguruj wszystkie modele BMW. pl,1,False,True,332,"cena, silnik, finansowanie"
bmw_893516_ch004_5499,Kalkulacja nie stanowi oferty w rozumieniu Kodeksu cywilnego i ma charakter jedynie informacyjny. Zawarcie umowy uzależnione jest od pozytywnego wyniku weryfikacji prawnofinansowej klienta oraz ubezpi...,"X1, X3, X5",Odkryj i skonfiguruj wszystkie modele BMW. pl,1,False,True,414,"cena, finansowanie"
